GEOINT,Tot_Qtr_WaterViol,Mean_Nitrate_Levels
19165,184.75,0.537142857
19167,615,1.875510204
19169,484,0
19171,604.75,1.755170068
19173,921.5,0.363863636
19175,672.5,0
19177,195,0.487037037
19179,464.25,0
19181,313.75,0
19183,1123.5,0.245625
19185,1706.5,0
19187,3647,0.303469388
19189,257,0
19191,634,0.973469388
19193,814.5,3.806722689
19195,131.75,0
19197,326,0
21001,582,0
21003,2245,0
21005,1290,0
21007,1169,0
21009,1100,0
21011,522,0
21013,1215,0
21015,667,0
21017,3066,0
21019,316,0
21021,5,0
21023,327,0
21025,2994.75,0
21027,1245,0
21029,43.5,0
21031,1207.25,0
21033,1172.5,0
21035,3141.25,0
21037,43,0
21039,949,0
21041,352,0
21043,1412,0
21045,3828,0
21047,794.5,0
21049,791,0
21051,1750,0
21053,569.25,0
21055,1173.75,0
21057,2368,0
21059,205.25,0
21061,1211,0
21063,430,0
21065,705.25,0
21067,126.5,0
21069,663,0
21071,286.75,0
21073,606.25,0
21075,718,0
21077,88,0
21079,889,0
21081,437,0
21083,7749.5,0
21085,329,0
21087,818,0
21089,1699,0
21091,381.75,0
21093,200,0
21095,1091.25,0.403448276
21097,2362,0
21099,287,0
21101,1053.5,0
21103,164,0
21105,454,0
21107,1605.5,0
21109,1414,0
21111,0,0
21113,1761.5,0
21115,292,0
21117,82,0
21119,167.25,0
21121,2286,0
21123,364,0
21125,1463,0
21127,417,0
21129,789.75,0
21131,469,0
21133,652.75,0
21135,1040,0
21137,631,0
21139,1335.75,0
21141,1477,0
21143,470,0
21145,502,0
21147,178.5,0
21149,586.5,0
21151,687,0
21153,1137.5,0
21155,484.25,0
21157,1918.5,0
21159,541.5,0
21161,932,0
21163,346.25,0
21165,96.5,0
21167,1580,0
21169,220,0
21171,1463.25,0
21173,2583,0
21175,527.5,0
21177,646.5,0
21179,945,0
21181,1565,0
21183,2168.5,0
21185,10,0
21187,156,0
21189,938,0
21191,779,0
21193,146,0
21195,965,0
21197,383,0
21199,889,0
21201,152,0
21203,798,0
21205,3360,0
21207,1172,0
21209,340,0
21211,444.5,0
21213,951,0
21215,103.5,0
21217,982,0
21219,765.5,0
21221,1458,0
21223,68,0
21225,1165.25,0
21227,0,0
21229,354,0
21231,500.25,0
21233,1229,0
21235,808.5,0
21237,1097.5,0
21239,1268,0
22001,696.25,0
22003,894.5,0
22005,1410.5,0
22007,259,0
22009,861,0
22011,1761.25,0
22013,4568.5,0
22015,3425.5,0
22017,2721.25,0
22019,1266.5,0
22021,2104.25,0
22023,1761,0
22025,1790.25,0
22027,1642.25,0
22029,6754.25,0
22031,3635,0
22033,497,0
22035,1146,0
22037,652.75,0
22039,2090,0
22041,2997.25,0
22043,1987.75,0
22045,697.25,0
22047,153,0
22049,4258.5,0
22051,100,0
22053,451,0
22055,892.5,0
22057,12,0
22059,1286.75,0
22061,1731.5,0
22063,1123.5,0
22065,2346.5,0
22067,1374,0
22069,3360.5,0
22071,0,0
22073,4477.25,0
22075,670,0
22077,160.25,0
22079,1267.5,0
22081,5218,0
22083,4282.25,0
22085,5094,0
22087,0,0
22089,222.75,0
22091,505.25,0
22093,67,0
22095,601,0
22097,1789.5,0
22099,1526,0
22101,496.5,0
22103,2532.5,0
22105,1062.5,0
22107,1272,0
22109,0,0
22111,12741.75,0
22113,1709.75,0
22115,1719,0
22117,2716.75,0
22119,2170.5,0
22121,286,0
22123,499.5,0
22125,364.25,0
22127,6555.5,0
27001,690.25,0
27003,200.75,0
27005,925.5,1.12
27007,1847,0
27009,246,0
27011,229.5,0
27013,347.75,0
27015,53.5,0
27017,677.25,0
27019,113.75,0
27021,2613.25,0
27023,197.75,1.925641026
27025,292.5,0
27027,489.25,0
27029,1956,0.56
27031,1068.5,0
27033,170.75,0
27035,1226.75,0
27037,442.75,0
27039,117.25,0
27041,258.75,0
27043,77,0
27045,262.5,0
27047,603.5,0
27049,626,0
27051,172.25,0
27053,195.25,0
27055,127.25,0
27057,838.25,4.15625
27059,104,0
27061,1099.5,0
27063,155.75,0
27065,300.75,0
27067,469.25,0
27069,599.25,0
27071,1071.5,0
27073,152.5,0
27075,97.5,0
27077,574,0
27079,73.5,0
27081,166,1.138095238
27083,226,0
27085,106.25,0
27087,178,0
27089,1213.25,0
27091,156.25,0
27093,95.25,0
27095,2191,0
27097,236.25,0
27099,603.75,0
27101,219,0
27103,76.5,0
27105,382.75,0.666666667
27107,213.5,0
27109,188.5,0
27111,511.25,0
27113,1181.5,0
27115,770,0
27117,402.75,16.30238095
27119,583.5,0
27121,106,0
27123,102.25,0
27125,242.25,0
27127,321.75,0
27129,435,0
27131,217.25,0
27133,356,16.19444444
27135,1406.5,0
27137,1602.25,0
27139,605.25,0
27141,200.5,0
27143,167.75,0
27145,477,0
27147,124.75,0
27149,101.5,0
27151,338.75,0.846153846
27153,183,0
27155,282.75,0
27157,212.5,0
27159,262,0
27161,92.5,0
27163,229.25,0
27165,57.75,0
27167,144,0
27169,368.5,0
27171,219.75,0
27173,320,0
28001,1962,0
28003,7490.25,0
28005,5935,0
28007,16544,0
28009,5444.5,0
28011,9339.5,0
28013,19133.25,0
28015,10760,0
28017,18118.5,0
28019,6704.5,0
28021,8464,0
28023,19037.5,0
28025,9819.75,0
28027,10134,0
28029,19004.75,0
28031,12351,0
28033,7316.25,0
28035,18051,0
28037,6919,0
28039,18983,0
28041,11840.5,0
28043,12676.75,0
28045,5822.5,0
28047,14770.25,0
28049,13707.5,0
28051,27556,0
28053,8016,0
28055,3190,0
28057,4916.5,0
28059,10842,0
28061,14226.75,0
28063,7864.75,0
28065,6162.25,0
28067,32071.25,0
28069,9553,0
28071,45808.25,0
28073,10818.5,0
28075,12713,0
28077,3989.5,0
28079,31498,0
28081,10651,0
28083,8241.75,0
28085,6395.25,0
28087,5774.5,0
28089,23572,0
28091,20312.25,0
28093,7843.75,0
28095,20625.5,0
28097,6544,0
28099,22731.75,0
28101,5203,0
28103,11873,0
28105,18033.5,0
28107,25545.75,0
28109,14013.5,0
28111,14360.25,0
28113,6397,0
28115,21952.5,0
28117,17456,0
28119,8656,0
28121,29175.25,0
28123,29974.25,0
28125,3735,0
28127,14654.25,0
28129,22137.75,0
28131,10606,0
28133,7563.75,0
28135,9493.25,0
28137,10803.5,0
28139,16585.25,0
28141,5241.25,0
28143,3177.75,0
28145,15726.25,0
28147,5763,0
28149,3368.5,0
28151,11973.75,0
28153,32700.5,0
28155,15491.5,0
28157,15554,0
28159,15139.75,0
28161,13570.75,0
28163,36482,0
29001,827.75,0
29003,391.25,0
29005,375.25,0
29007,452.75,0
29009,4334.75,0
29011,917.5,0
29013,2348.5,0
29015,9419,0
29017,580,0
29019,530.25,0
29021,76.5,0
29023,2301.75,0
29025,776,0
29027,529,0
29029,2907.5,0
29031,3153,0
29033,424,0
29035,1023,0
29037,1977.25,0
29039,1565.75,0
29041,330.5,0
29043,2509.25,0
29045,327.25,0
29047,812.25,0
29049,263.25,0
29051,1018,0
29053,1567.5,0
29055,2051,0
29057,312.5,0
29059,521,0
29061,814,0
29063,1103.75,0
29065,871.5,0
29067,768.75,0
29069,887,0
29071,4980.75,0
29073,944,0
29075,377,0
29077,2533.25,0
29079,941.25,0
29081,543.75,0
29083,5610.25,0
29085,918.75,0
29087,502,1.675873016
29089,608.5,0
29091,961,0
29093,498.25,0
29095,199,0
29097,2148.75,0
29099,4098.75,0
29101,918.5,0
29103,71.75,0
29105,691,0
29107,1026.25,0
29109,2983.5,0
29111,144.75,0
29113,2581,0
29115,515.5,0
29117,401.25,0
29119,886.25,0
29121,930,0
29123,1552,0
29125,1469,0
29127,149,0
29129,348,0
29131,799.75,0
29133,323.5,0
29135,699.25,0
29137,76.5,0
29139,996,0
29141,2173,0
29143,750.75,0
29145,3173,0
29147,1632.25,0.955357143
29149,552.75,0
29151,741.5,0
29153,650.5,0
29155,463.75,0
29157,2050,0
29159,4378.75,0
29161,3919,0
29163,1114.75,0
29165,436.5,0
29167,1541.5,0
29169,1316.5,0
29171,661.25,0
29173,558,0
29175,602.75,0
29177,381.5,0
29179,865,0
29181,1138.5,0
29183,671,0
29185,997.75,0
29186,3081,0
29187,6195.75,0
29189,1986.5,0
29195,1326,0
29197,96.5,0
29199,177,0
29201,1791.25,0
29203,639,0
29205,112,0
29207,960.5,0
29209,6845,0
29211,316.75,0
29213,1941.75,0
29215,1521.75,0
29217,1169.5,0
29219,1181,0
29221,2959.25,0
29223,1062.75,0
29225,1928.25,0
29227,164.5,0
29229,1286.75,0
29510,0,0
39001,222.25,0
39003,772.75,0
39005,1019.5,0
39007,1181,0
39009,855.75,0
39011,878.5,0
39013,926.5,0
39015,999,0
39017,973.75,0
39019,604.5,0
39021,1082.25,3.020432692
39023,2780.75,0.226666667
39025,793.25,0
39027,861.75,0
39029,1765.75,0
39031,4198.5,0
39033,1622.5,0
39035,778.5,0
39037,1352.5,0
39039,3018,5.866666667
39041,520,2.75
39043,427.25,0
39045,1536.75,0
39047,1904,0
39049,1078.75,0
39051,896,0
39053,89.75,0
39055,4578.25,0
39057,354.75,0
39059,1438.25,0
39061,807.75,0
39063,1925,0
39065,676,0
39067,2293,0
39069,544,4.2
39071,826.25,0
39073,1402.25,2.2
39075,1046.25,0
39077,352,0
39079,1470,0
39081,634.5,0
39083,1536.5,0
39085,582,0
39087,322.25,0
39089,3180.75,0
39091,966.75,0
39093,1240.75,0
39095,1022,1.185185185
39097,4850,0
39099,1102.5,0
39101,360,0
39103,1229.5,0
39105,442.75,0
39107,1841.5,0
39109,1176.5,0.976
39111,382.5,0
39113,1273.25,0
39115,1103.5,0
39117,1063.5,0
39119,2951.75,0
39121,688,0
39123,1351.5,0
39125,1297,0.573913043
39127,1149.75,0
39129,2027.5,0.493103448
39131,3411.5,0
39133,2730,0
39135,713.5,0
39137,1719.75,0
39139,1869,0
39141,1847.25,0
39143,728,3.555555556
39145,359,0
39147,2750.25,0
39149,696.5,0
39151,2377.25,0
39153,1985,0.615384615
39155,2706.75,0
39157,658,0
39159,697.75,0
39161,991.5,0
39163,161.25,0
39165,1328.5,0
39167,1069.25,0
39169,3067.25,0
39171,822,0
39173,3423.25,4.896470588
39175,553,0
47001,217,0
47003,246.5,0
47005,259,0
47007,2147.75,0
47009,246.75,0
47011,635.25,0
47013,1833.75,0
47015,379.5,0
47017,323,0
47019,2228.25,0
47021,434.5,0
47023,24.75,0
47025,164,0
47027,684,0
47029,14,0
47031,162,0
47033,288,0
47035,438.75,0
47037,148,0
47039,313.75,0
47041,742.5,0
47043,229,0
47045,428,0
47047,381,0
47049,4585.75,0
47051,802,0
47053,892.75,0
47055,557.25,0
47057,73,0
47059,936,0
47061,202,0
47063,38,0
47065,130.5,0
47067,335,0
47069,1078.5,0
47071,679,0
47073,1539.75,0
47075,597,0
47077,543.5,0
47079,197.5,0
47081,761.25,0
47083,382.25,0
47085,227,0
47087,832.5,0
47089,350.5,0
47091,1468.25,0
47093,18,0
47095,327,0
47097,280,0
47099,1619,0
47101,577.25,0
47103,656,0
47105,247,0
47107,498.5,0
47109,272,0
47111,1095,0
47113,505,0
47115,619,0
47117,425,0
47119,259.25,0
47121,361,0
47123,1669.25,0
47125,246.5,0
47127,177,0
47129,434.5,0
47131,759.75,0
47133,527.25,0
47135,305,0
47137,438.25,0
47139,541.75,0
47141,907.75,0
47143,1088.75,0
47145,555.75,0
47147,270,0
47149,240,0
47151,1260,0
47153,223.75,0
47155,1298.5,0
47157,186.5,0
47159,221.5,0
47161,1278.5,0
47163,1308,0
47165,508.5,0
47167,170,0
47169,167.25,0
47171,174,0
47173,751.25,0
47175,1061.75,0
47177,173.25,0
47179,224,0
47181,2163.5,0
47183,64,0
47185,925.25,0
47187,981,0
47189,374.75,0
55001,908.25,0
55003,1494.25,0
55005,2604.5,0
55007,3128.25,0
55009,1240.5,0
55011,835.25,0
55013,1533.25,0
55015,199.5,0
55017,4836,0
55019,2804.5,0
55021,7478.5,0
55023,1329.25,0
55025,2666.75,0
55027,2941.25,0
55029,469,0
55031,1874.5,0
55033,6253.75,0
55035,1146,0
55037,16.25,0
55039,1696.75,0
55041,3692.75,0
55043,1700.75,0
55045,621,0
55047,558,0
55049,1145.25,0
55051,1444.5,0
55053,2880.5,0
55055,1014.5,0
55057,726,0
55059,3482,0
55061,266,0
55063,3655.75,0
55065,658.25,0
55067,1051.5,0
55069,4080.5,0
55071,905.25,0
55073,6463,0
55075,1576,0
55077,219,0
55078,2064,0
55079,815.5,0
55081,1942.5,0
55083,549.5,0
55085,5946.25,0
55087,1386.75,0
55089,1229.5,0
55091,84.75,0
55093,480,0
55095,826.25,0
55097,1064.5,0
55099,3758.5,0
55101,3816.25,0
55103,788.25,0
55105,1645.5,0
55107,3969.25,0
55109,3126.5,0
55111,3057.5,0
55113,8860.25,0
55115,1168.25,0
55117,1238,0
55119,5799,0
55121,1908,0
55123,1752.5,0
55125,716.5,0
55127,4871.25,0
55129,2777,0
55131,1443.5,0
55133,6060.25,0
55135,1464,0
55137,1106.75,0
55139,400,0
55141,1327.5,0
